epoch,accuracy,auc,false_negatives_1,false_positives_1,loss,lr,precision,recall,true_negatives_1,true_positives_1,val_accuracy,val_auc,val_false_negatives_1,val_false_positives_1,val_loss,val_precision,val_recall,val_true_negatives_1,val_true_positives_1
26,0.5005000233650208,0.5110388398170471,1998.0,1998.0,0.6928687691688538,9.999999e-06,0.5005000233650208,0.5005000233650208,2002.0,2002.0,0.5049999952316284,0.5048750042915344,990.0,990.0,0.6930326819419861,0.5049999952316284,0.5049999952316284,1010.0,1010.0
27,0.4937500059604645,0.5025565028190613,2025.0,2025.0,0.6931943297386169,1e-06,0.4937500059604645,0.4937500059604645,1975.0,1975.0,0.5049999952316284,0.5053610801696777,990.0,990.0,0.6930277943611145,0.5049999952316284,0.5049999952316284,1010.0,1010.0
28,0.5087500214576721,0.5111611485481262,1965.0,1965.0,0.6929683685302734,1e-06,0.5087500214576721,0.5087500214576721,2035.0,2035.0,0.5059999823570251,0.5048865079879761,988.0,988.0,0.6930238008499146,0.5059999823570251,0.5059999823570251,1012.0,1012.0
29,0.5072500109672546,0.5126827955245972,1971.0,1971.0,0.6928184032440186,1e-06,0.5072500109672546,0.5072500109672546,2029.0,2029.0,0.5040000081062317,0.5044138431549072,992.0,992.0,0.6930351853370667,0.5040000081062317,0.5040000081062317,1008.0,1008.0
30,0.5067499876022339,0.5018901228904724,1973.0,1973.0,0.6932370662689209,1e-06,0.5067499876022339,0.5067499876022339,2027.0,2027.0,0.5055000185966492,0.5039120316505432,989.0,989.0,0.6930303573608398,0.5055000185966492,0.5055000185966492,1011.0,1011.0
31,0.5105000138282776,0.5076546669006348,1958.0,1958.0,0.6929335594177246,1e-06,0.5105000138282776,0.5105000138282776,2042.0,2042.0,0.5055000185966492,0.5048725008964539,989.0,989.0,0.6930252909660339,0.5055000185966492,0.5055000185966492,1011.0,1011.0
32,0.515749990940094,0.5185251832008362,1937.0,1937.0,0.6927046179771423,1e-06,0.515749990940094,0.515749990940094,2063.0,2063.0,0.5049999952316284,0.5053583383560181,990.0,990.0,0.6930273771286011,0.5049999952316284,0.5049999952316284,1010.0,1010.0
33,0.5130000114440918,0.5141879320144653,1948.0,1948.0,0.6928240060806274,1e-06,0.5130000114440918,0.5130000114440918,2052.0,2052.0,0.5049999952316284,0.5053610801696777,990.0,990.0,0.6930276155471802,0.5049999952316284,0.5049999952316284,1010.0,1010.0
34,0.5095000267028809,0.5195775032043457,1962.0,1962.0,0.6926181316375732,1e-06,0.5095000267028809,0.5095000267028809,2038.0,2038.0,0.5049999952316284,0.5048867464065552,990.0,990.0,0.6930275559425354,0.5049999952316284,0.5049999952316284,1010.0,1010.0
35,0.5052499771118164,0.5077965259552002,1979.0,1979.0,0.693028450012207,1e-06,0.5052499771118164,0.5052499771118164,2021.0,2021.0,0.5049999952316284,0.5044138431549072,990.0,990.0,0.6930363774299622,0.5049999952316284,0.5049999952316284,1010.0,1010.0
36,0.49674999713897705,0.5035067200660706,2013.0,2013.0,0.6930617094039917,1e-06,0.49674999713897705,0.49674999713897705,1987.0,1987.0,0.5055000185966492,0.5043864250183105,989.0,989.0,0.6930318474769592,0.5055000185966492,0.5055000185966492,1011.0,1011.0
37,0.5037500262260437,0.505339503288269,1985.0,1985.0,0.6929771304130554,1e-06,0.5037500262260437,0.5037500262260437,2015.0,2015.0,0.5049999952316284,0.504400372505188,990.0,990.0,0.6930368542671204,0.5049999952316284,0.5049999952316284,1010.0,1010.0
38,0.5007500052452087,0.5030961632728577,1997.0,1997.0,0.6931868195533752,1e-06,0.5007500052452087,0.5007500052452087,2003.0,2003.0,0.5049999952316284,0.5048724412918091,990.0,990.0,0.6930270195007324,0.5049999952316284,0.5049999952316284,1010.0,1010.0
39,0.4975000023841858,0.5030309557914734,2010.0,2010.0,0.6930718421936035,1e-06,0.4975000023841858,0.4975000023841858,1990.0,1990.0,0.5049999952316284,0.5053348541259766,990.0,990.0,0.6930287480354309,0.5049999952316284,0.5049999952316284,1010.0,1010.0
40,0.49900001287460327,0.5088319778442383,2004.0,2004.0,0.693061888217926,1e-06,0.49900001287460327,0.49900001287460327,1996.0,1996.0,0.5059999823570251,0.5053480863571167,988.0,988.0,0.6930140256881714,0.5059999823570251,0.5059999823570251,1012.0,1012.0
41,0.49549999833106995,0.5007543563842773,2018.0,2018.0,0.6933210492134094,1e-06,0.49549999833106995,0.49549999833106995,1982.0,1982.0,0.5049999952316284,0.5048750042915344,990.0,990.0,0.6930344104766846,0.5049999952316284,0.5049999952316284,1010.0,1010.0
42,0.5062500238418579,0.5064440965652466,1975.0,1975.0,0.693101704120636,1e-06,0.5062500238418579,0.5062500238418579,2025.0,2025.0,0.5055000185966492,0.5043864250183105,989.0,989.0,0.6930326223373413,0.5055000185966492,0.5055000185966492,1011.0,1011.0
43,0.5117499828338623,0.516693115234375,1953.0,1953.0,0.6924813389778137,1e-06,0.5117499828338623,0.5117499828338623,2047.0,2047.0,0.5049999952316284,0.5053195953369141,990.0,990.0,0.6930273175239563,0.5049999952316284,0.5049999952316284,1010.0,1010.0
44,0.4975000023841858,0.5032272338867188,2010.0,2010.0,0.6931123733520508,1e-06,0.4975000023841858,0.4975000023841858,1990.0,1990.0,0.5055000185966492,0.5048867464065552,989.0,989.0,0.6930279731750488,0.5055000185966492,0.5055000185966492,1011.0,1011.0
45,0.518750011920929,0.5202681422233582,1925.0,1925.0,0.6927996873855591,1e-06,0.518750011920929,0.518750011920929,2075.0,2075.0,0.5055000185966492,0.504860520362854,989.0,989.0,0.6930342316627502,0.5055000185966492,0.5055000185966492,1011.0,1011.0
46,0.5112500190734863,0.5151466131210327,1955.0,1955.0,0.6929550766944885,1e-06,0.5112500190734863,0.5112500190734863,2045.0,2045.0,0.5049999952316284,0.5048724412918091,990.0,990.0,0.6930271983146667,0.5049999952316284,0.5049999952316284,1010.0,1010.0
47,0.49900001287460327,0.49707478284835815,2004.0,2004.0,0.693336546421051,1e-06,0.49900001287460327,0.49900001287460327,1996.0,1996.0,0.5049999952316284,0.5048724412918091,990.0,990.0,0.693027138710022,0.5049999952316284,0.5049999952316284,1010.0,1010.0
48,0.5017499923706055,0.5019784569740295,1993.0,1993.0,0.6931565403938293,1e-06,0.5017499923706055,0.5017499923706055,2007.0,2007.0,0.5055000185966492,0.5039116740226746,989.0,989.0,0.6930322647094727,0.5055000185966492,0.5055000185966492,1011.0,1011.0
49,0.5022500157356262,0.5041947960853577,1991.0,1991.0,0.6931958794593811,1e-06,0.5022500157356262,0.5022500157356262,2009.0,2009.0,0.5065000057220459,0.5048867464065552,987.0,987.0,0.6930207014083862,0.5065000057220459,0.5065000057220459,1013.0,1013.0
50,0.4937500059604645,0.4998447895050049,2025.0,2025.0,0.693259596824646,1e-06,0.4937500059604645,0.4937500059604645,1975.0,1975.0,0.5044999718666077,0.5048725008964539,991.0,991.0,0.6930248141288757,0.5044999718666077,0.5044999718666077,1009.0,1009.0
51,0.5162500143051147,0.5149543881416321,1935.0,1935.0,0.6928478479385376,1e-06,0.5162500143051147,0.5162500143051147,2065.0,2065.0,0.5049999952316284,0.5048725008964539,990.0,990.0,0.6930283904075623,0.5049999952316284,0.5049999952316284,1010.0,1010.0
